(акула одежда для мальчика)|10002655|no|common||elasticsearch|--context-subject="одежда" --query="акула одежда для мальчиков"|presets/bucket_88|preset=10002655|()
(пищевые красители)|10010306|no|common||elasticsearch|--context-subject="красители пищевые" --query="пищевые красители"|presets/bucket_217|preset=10010306|()
(мужские шлепки)||no|common||||children|subject=107;98;109&kind=0;1|()
(фартук школьный)|10002942|no|common||elasticsearch|--query="фартук школьный"|presets/bucket_280|preset=10002942|()
(куртка парка женская демисезонная)|10003133|no|common||elasticsearch|--context-subject="парка" --query="куртка парка женская демисезонная"|presets/bucket_502|preset=10003133|()
(детский зимний пуховик для девочки)||no|common||||presets/top100_3|preset=1007&kind=3;5&season=0;52;42|()
(рубашки детские для мальчика)|10003301|no|common||elasticsearch|--context-subject="рубашка" --query="рубашки детские для мальчика"|presets/bucket_183|preset=10003301|()
(спортивный костюм для мужчин adidas)|10030804|no|common||elasticsearch|--context-brand="adidas" --context-subject="костюмы спортивные" --query="спортивный костюм мужской адидас"|presets/bucket_148|preset=10030804|()
(очки для плавания детские)||no|common||kind_item||sport3|subject=250|()
(дозатор)|10003488|no|common||elasticsearch|--query="дозатор"|presets/bucket_198|preset=10003488|()
(фин флаер)|10037153|no|common||elasticsearch|--query="фин флаер"|presets/bucket_442|preset=10037153|()
(для детей обувь котофей для девочек)|10035463|no|common||elasticsearch|--context-subject="обувь" --query="котофей обувь для детей девочки"|presets/bucket_695|preset=10035463&kind=3;5|()
(лоток для кошек)|10221691|no|common||elasticsearch|--context-subject="лотки для животных" --query="лоток для кошек товары для животных"|presets/bucket_550|preset=10221691|()
(трусики)|11283|no|common||elasticsearch|--context-subject="трусы" --query="трусики" --filter="subjectId:(133 OR 4670)"|presets/bucket_587|preset=11283|()
(обувь женская рикер)|10043486|no|common||elasticsearch|--context-subject="обувь" --query="обувь для женщин фирмы рикер"|presets/bucket_20|preset=10043486|()
(подарок для учителя)|10105564|no|common||elasticsearch|--query="подарок для учителя"|presets/bucket_538|preset=10105564|()
(скейт)|10004065|no|common||elasticsearch|--query="скейт"|presets/bucket_396|preset=10004065|()
(сапоги детские)||no|common||kind_item||children|subject=99;283;391;1025;2771;2772&kind=3;5;6|()
(фильтр барьер)|10061406|no|common||elasticsearch|--query="фильтр барьер"|presets/bucket_174|preset=10061406|()
(туника для пляжа)|10004482|no|common||elasticsearch|--context-subject="туника" --query="туника для пляжа"|presets/bucket_151|preset=10004482|()
(сумочка для девочки)|10004677|no|common||elasticsearch|--query="сумочка для девочки"|presets/bucket_669|preset=10004677|()
(на стену)|10079559|no|common||elasticsearch|--query="украшение на стену"|presets/bucket_70|preset=10079559|()
(плед на диван)|10149808|no|common||elasticsearch|--context-subject="покрывало" --query="покрывало на диван дом" --filter="parentSubjectId:(195 OR 1284 OR 1590 OR 1598 OR 1616 OR 1521 OR 6259 OR 5495 OR 1077)"|presets/bucket_296|preset=10149808|()
(подарки для девочки)|10004836|no|common||elasticsearch|--query="отличный подарок для девочки дочки"|presets/bucket_395|preset=10004836|()
(с рождением малыша)||no|common||menu_item||babies|subject=108;276;277;286;309;583;1259;1457;1720;2049;2572;2581;3644;3828;3995;3996;3997;3998;3999;4000;4001;4002;4003;4509;4510;4511;4515;4531;4532;4533;4534;4535;4568;4599;4600;4601;4602;4603;4604;4608;4609;4610;4611;4612;4613;4614;4615;4616;4617;4618;4622;4623;4624;4625;4627;4628;4630;4631;4633;4634;4635;4636;4637;4638;4639;4640;4641;4642;4643;4644;4645;4646;4647;4648;4661;4668;4670;4673;4723;4724;4725;4726;4727;4728;4731;4733;4734;4736;4737;4738;4739;4776;4777;4778;4779;4781;4782;4783;4784;4785;4786;4787;4825;4826;4854;4855;4859;5897|()
(финн флаер)|10037153|no|common||elasticsearch|--query="финн флаер"|presets/bucket_442|preset=10037153|()
